City,Cloudiness,Country,Date,Humidity (%),Latitude,Longitude,Max Temperature,Wind Speed (MPH)
Vaini,90,TO,1584072633,94,-21.2,-21.2,77.0,10.29
Tam Ky,20,VN,1584072816,70,15.57,15.57,87.8,4.7
Hermanus,0,ZA,1584072637,85,-34.42,-34.42,63.0,3.0
Punta Arenas,75,CL,1584072637,87,-53.15,-53.15,50.0,12.75
Rikitea,0,PF,1584072369,79,-23.12,-23.12,77.07,18.19
Newport,90,GB,1584072686,81,51.59,51.59,46.0,18.34
Ribeira Grande,25,PT,1584072637,83,38.52,38.52,55.51,8.66
Alihe,100,CN,1584072817,68,50.57,50.57,16.81,9.35
Ushuaia,75,AR,1584072363,71,-54.8,-54.8,53.6,6.93
Port Alfred,99,ZA,1584072648,97,-33.59,-33.59,66.99,1.01
Richards Bay,35,ZA,1584072652,85,-28.78,-28.78,75.67,6.98
Hithadhoo,1,MV,1584072668,69,-0.6,-0.6,83.57,13.09
New Norfolk,75,AU,1584072632,87,-42.78,-42.78,62.01,8.05
Dingle,62,PH,1584072643,61,11.0,11.0,84.27,10.51
Tabou,42,CI,1584072818,93,4.42,4.42,78.51,4.14
Kichera,100,RU,1584072818,92,55.94,55.94,12.88,5.95
Rawa Mazowiecka,0,PL,1584072818,69,51.76,51.76,39.0,3.36
Kristinestad,90,FI,1584072818,88,62.27,62.27,29.97,8.39
São João do Piauí,0,BR,1584072818,90,-8.36,-8.36,72.41,0.25
Saint Paul Harbor,1,US,1584072666,47,57.79,57.79,33.8,8.05
Ponta do Sol,40,PT,1584072638,72,32.67,32.67,62.6,16.11
Butaritari,45,KI,1584072632,76,3.07,3.07,83.03,5.48
Ostrovnoy,100,RU,1584072693,96,68.05,68.05,18.55,3.31
Mataura,5,NZ,1584072639,72,-46.19,-46.19,61.0,5.99
Grand Gaube,75,MU,1584072707,100,-20.01,-20.01,78.01,6.93
Atikokan,100,CA,1584072819,94,48.76,48.76,28.04,12.08
Torbay,90,CA,1584072632,79,47.67,47.67,27.0,13.87
Kungurtug,39,RU,1584072693,71,50.6,50.6,15.39,0.6
Belaya Gora,100,RU,1584072725,92,68.53,68.53,-17.5,6.73
Malindi,98,KE,1584072820,84,-3.22,-3.22,77.76,2.13
São Filipe,47,CV,1584072664,69,14.9,14.9,72.9,5.57
Busselton,81,AU,1584072643,29,-33.65,-33.65,81.0,14.97
Sørland,100,NO,1584072673,66,67.67,67.67,27.72,33.33
Cidreira,0,BR,1584072688,81,-30.18,-30.18,76.42,15.86
Bluff,14,NZ,1584072638,72,-46.6,-46.6,61.0,5.99
Port Elizabeth,20,ZA,1584072637,93,-33.92,-33.92,64.4,5.82
São Félix do Xingu,95,BR,1584072672,97,-6.64,-6.64,72.23,0.58
Yulara,0,AU,1584072639,10,-25.24,-25.24,98.6,10.29
Hailar,100,CN,1584072703,90,49.2,49.2,19.04,18.01
Ilulissat,92,GL,1584072647,71,69.22,69.22,6.8,2.24
Okha,99,RU,1584072658,76,53.57,53.57,8.71,10.74
Viedma,1,AR,1584072563,32,-40.81,-40.81,75.65,10.8
Plouzané,75,FR,1584072821,86,48.38,48.38,42.8,3.36
Cape Town,0,ZA,1584072635,87,-33.93,-33.93,63.0,9.17
Qaanaaq,0,GL,1584072643,43,77.48,77.48,-20.79,4.12
Yantal',100,RU,1584072725,91,56.85,56.85,23.25,9.93
Severo-Kuril'sk,64,RU,1584072684,71,50.68,50.68,24.62,5.19
Ibrā’,55,OM,1584072822,33,22.69,22.69,64.67,3.76
Mayumba,100,GA,1584072651,79,-3.43,-3.43,81.28,6.4
Pisco,99,PE,1584072651,83,-13.7,-13.7,73.4,10.29
Kumul,0,CN,1584072822,15,42.8,42.8,40.08,2.13
Chokurdakh,95,RU,1584072648,96,70.63,70.63,-22.77,6.62
Pevek,100,RU,1584072633,93,69.7,69.7,4.3,5.68
Tasiilaq,62,GL,1584072645,66,65.61,65.61,12.2,23.04
Sortland,100,NO,1584072823,67,68.69,68.69,24.01,36.91
Bubaque,0,GW,1584072683,67,11.28,11.28,80.28,8.57
Sibolga,0,ID,1584072644,58,1.74,1.74,88.27,1.34
Villazón,100,BO,1584072680,75,-22.09,-22.09,53.38,10.71
Presidencia Roque Sáenz Peña,0,AR,1584072759,36,-26.79,-26.79,83.48,6.71
Srednekolymsk,100,RU,1584072709,93,67.45,67.45,-13.22,15.77
Laas,75,IT,1584072824,93,46.62,46.62,50.0,2.24
Mar del Plata,5,AR,1584072646,94,-38.0,-38.0,72.0,3.36
Puga,20,MX,1584072824,77,21.58,21.58,69.8,2.89
George Town,20,MY,1584072658,59,5.41,5.41,89.6,3.36
Clyde River,90,CA,1584072640,74,70.47,70.47,-23.8,5.82
Kishanpur,63,IN,1584072824,55,25.65,25.65,75.58,4.97
Sitrah,99,BH,1584072824,68,26.15,26.15,68.0,4.7
São João da Barra,36,BR,1584072708,85,-21.64,-21.64,77.25,13.53
Kjøllefjord,100,NO,1584072824,79,70.95,70.95,16.57,18.99
Lebu,100,CL,1584072659,98,-37.62,-37.62,58.89,1.88
Sri Aman,75,MY,1584072825,74,1.24,1.24,87.8,2.24
Ulladulla,0,AU,1584072684,29,-35.35,-35.35,79.0,8.05
Codrington,100,AU,1584072677,83,-38.27,-38.27,61.75,23.31
Hokitika,0,NZ,1584072663,77,-42.72,-42.72,62.65,5.7
